words,sentiment
mafin,POSITIVE
zaman lafia,POSITIVE
burina,POSITIVE
sonta,POSITIVE
biri,NEGATIVE
saku,POSITIVE
kazanta,NEGATIVE
nauyin kasa,NEGATIVE
munafurci,NEGATIVE
ansace,NEGATIVE
anbashi,POSITIVE
gogon biri,NEGATIVE
bakarya,POSITIVE
ubansu,NEGATIVE
jaddada,POSITIVE
sadakar,POSITIVE
rahmarka,POSITIVE
shawarata,POSITIVE
rigimammu,NEGATIVE
hawaye,NEGATIVE
hazikai,POSITIVE
shiriye,POSITIVE
zaman lpy,POSITIVE
rahamce,POSITIVE
fitsararru,NEGATIVE
girman kai,NEGATIVE
dadina,POSITIVE
shagulgulan,POSITIVE
sauwaqa,POSITIVE
mugu,NEGATIVE
albishir,POSITIVE
wargi,NEGATIVE
azzalumi,NEGATIVE
jindadin,POSITIVE
murkushe,NEGATIVE
yafemu,POSITIVE
konewa,NEGATIVE
takura,NEGATIVE
watsi,NEGATIVE
zaba,POSITIVE
musibar,NEGATIVE
yamutu,NEGATIVE
dagewa,POSITIVE
tsorata,NEGATIVE
yaimiki,POSITIVE
kokarin sa,POSITIVE
sunso,POSITIVE
anjii,POSITIVE
matsalar,NEGATIVE
jahilci,NEGATIVE
kalle,POSITIVE
damunmu,NEGATIVE
akafi,POSITIVE
kutumar uban,NEGATIVE
ranka shidade,POSITIVE
xinare️,POSITIVE
gaggawa,POSITIVE
karbuwa,POSITIVE
dafa,POSITIVE
zazzafan,POSITIVE
daki,NEGATIVE
guje ma,NEGATIVE
munaso,POSITIVE
abanxa,NEGATIVE
rashawar,NEGATIVE
kwartuwar,NEGATIVE
yatsorata,NEGATIVE
kakeson,POSITIVE
kamu,NEGATIVE
gafartamusu,POSITIVE
tumun dare,NEGATIVE
tsarwatsasu,NEGATIVE
doraka,POSITIVE
gwanin,POSITIVE
in sha allahu,POSITIVE
yayii,POSITIVE
dace,POSITIVE
taimakama,POSITIVE
tasono,NEGATIVE
jahili,NEGATIVE
inaruwan,NEGATIVE
magada,POSITIVE
wadae,NEGATIVE
zakuci,POSITIVE
hakura,POSITIVE
sakemu,POSITIVE
sekunci,POSITIVE
tausayi,POSITIVE
zagon kasa,NEGATIVE
fitaccen,POSITIVE
gwabza,NEGATIVE
qaramin,NEGATIVE
fallasawa,NEGATIVE
armashi,POSITIVE
kachakacha,NEGATIVE
agaisa,POSITIVE
munayinka,POSITIVE
damuwankune,NEGATIVE
fatan alheri,POSITIVE
tsinanne,NEGATIVE
kautarmana,POSITIVE
yan iskan,NEGATIVE
a cuci,NEGATIVE
kwar jini,POSITIVE
haurigiya,NEGATIVE
dadtaku,POSITIVE
yan daba,NEGATIVE
tawan,POSITIVE
maji,POSITIVE
nemo,POSITIVE
tallafin,POSITIVE
biyaka,POSITIVE
mayaudarine,NEGATIVE
yiyuwa,POSITIVE
arzuki,POSITIVE
ranste,POSITIVE
suzo,POSITIVE
mudace‍️‍️,POSITIVE
damunsa,NEGATIVE
jakunane,NEGATIVE
đađi,POSITIVE
jikanka,POSITIVE
kuyi,POSITIVE
masoyanki,POSITIVE
zakama,POSITIVE
hakkina,POSITIVE
yaqarama,POSITIVE
jiqan shi,POSITIVE
sanki,POSITIVE
yatayaka,POSITIVE
arone,NEGATIVE
kakeso,POSITIVE
kamawa,NEGATIVE
qayataccen,POSITIVE
yahuta,POSITIVE
tasaka,POSITIVE
banzar,NEGATIVE
kadanje,POSITIVE
yawon barbada,NEGATIVE
jagajaga,NEGATIVE
kafimu,POSITIVE
alhamdullah,POSITIVE
bakyaji,NEGATIVE
gayu,POSITIVE
yatsare,POSITIVE
sonsa,POSITIVE
habbaka,POSITIVE
alhmdullh,POSITIVE
yantasha,NEGATIVE
kyawawane,POSITIVE
zaqi,POSITIVE
tauyewa,NEGATIVE
wasan,POSITIVE
walwalar,POSITIVE
ameen️️,POSITIVE
kuzari,POSITIVE
munafukae,NEGATIVE
gara,POSITIVE
barar,NEGATIVE
kashin,NEGATIVE
jairan,NEGATIVE
mutuwarsu,NEGATIVE
ashar,NEGATIVE
kinfara,POSITIVE
surutun,NEGATIVE
marawa,POSITIVE
kikabar,NEGATIVE
soyayya,POSITIVE
rahama,POSITIVE
marar,NEGATIVE
ƙwaci,NEGATIVE
abinciki,NEGATIVE
yadamu,NEGATIVE
haukar,NEGATIVE
makaryata,NEGATIVE
qarya,NEGATIVE
kan uba,NEGATIVE
budi,POSITIVE
soki,POSITIVE
alawadaran,NEGATIVE
gangancin,NEGATIVE
kutumàr uba,NEGATIVE
zagemu,NEGATIVE
haskaka,POSITIVE
damuwan,NEGATIVE
fama,NEGATIVE
saba,NEGATIVE
da nasani,NEGATIVE
mtsweeeee,NEGATIVE
shegen,NEGATIVE
shedanta,NEGATIVE
karshe,NEGATIVE
yan gatan,POSITIVE
baras,NEGATIVE
gayamasa,POSITIVE
yayarda,POSITIVE
jinƙai,POSITIVE
tsarewa,POSITIVE
kunkai,POSITIVE
tubarkalla,POSITIVE
sharri,NEGATIVE
yaji ƙanku,POSITIVE
zage,NEGATIVE
rikici,NEGATIVE
adalchi,POSITIVE
yaraina,NEGATIVE
me karya,NEGATIVE
godiya,POSITIVE
kashirya,POSITIVE
mapitah,POSITIVE
qone,NEGATIVE
shawarar,POSITIVE
uwatar,NEGATIVE
tausaya,POSITIVE
karuwanci,NEGATIVE
zanbaki,POSITIVE
matsanncin,NEGATIVE
shashashai,NEGATIVE
ragargazasu,NEGATIVE
cece kuce,NEGATIVE
arzikin,POSITIVE
jagorancin,POSITIVE
munada,POSITIVE
alhairi,POSITIVE
girma,POSITIVE
dama,POSITIVE
alhamdullilah,POSITIVE
yakyautata,POSITIVE
jazakallahu khair,POSITIVE
niimarsa,POSITIVE
saisaita,POSITIVE
fitsari,NEGATIVE
niyyar,POSITIVE
uwarki,NEGATIVE
haramta,NEGATIVE
mutuncinka,POSITIVE
munnafukai,NEGATIVE
wadai,NEGATIVE
jarrabta,NEGATIVE
