word,label
atọ m,POSITIVE
gbụ kwe gị,NEGATIVE
ga abara,POSITIVE
iberiberi,NEGATIVE
mebi,NEGATIVE
i ga dị,POSITIVE
obi kpo kwara unu akpo,NEGATIVE
enweghi m ike,NEGATIVE
igwe bụ ike,POSITIVE
di aso,POSITIVE
mmụọ nso,NEGATIVE
odumeje,POSITIVE
gbuo m,NEGATIVE
ònwù,NEGATIVE
deeme,POSITIVE
ike gi agwula,NEGATIVE
naagba mbọ,POSITIVE
ekenekwaa,POSITIVE
nnanyelugo,POSITIVE
gaagozi,POSITIVE
isi adiro,NEGATIVE
so nma,POSITIVE
nukwu nmadu,POSITIVE
onweghi,NEGATIVE
meruo gi aru,NEGATIVE
ndu na atoya uto,POSITIVE
gosim uzo,POSITIVE
kpolia,NEGATIVE
ọ dozi akụ,POSITIVE
ne me mma,POSITIVE
eme bi go,NEGATIVE
eme mma,POSITIVE
ri jụọ nsị,NEGATIVE
dike,POSITIVE
ndi oshi,NEGATIVE
mara ma,POSITIVE
apụghị,NEGATIVE
malụ mma,POSITIVE
gbagburu,NEGATIVE
kwezuenu,POSITIVE
oma,POSITIVE
dicha oku,NEGATIVE
oluekwensu,NEGATIVE
chekwaba ndu,POSITIVE
ga e gbu,NEGATIVE
tufiakwa,NEGATIVE
nkita lacha gi anya,NEGATIVE
gbuo mmadu,NEGATIVE
otuto,POSITIVE
iberibe ‍️,NEGATIVE
ntị ike,NEGATIVE
gbaghara,POSITIVE
akpali mmadu,NEGATIVE
meela,POSITIVE
fugbue gi,NEGATIVE
anaghí,NEGATIVE
guru ike,NEGATIVE
naakom,NEGATIVE
ogwu ego,NEGATIVE
kụọ,NEGATIVE
akpi ogbara,NEGATIVE
onye àlà,NEGATIVE
isi adikwa gi,NEGATIVE
agwugo mu,NEGATIVE
ike gi agwụ go,NEGATIVE
gwo ogwu ego,NEGATIVE
chọọ okwu,NEGATIVE
di nma,POSITIVE
imeela,POSITIVE
ofụma,POSITIVE
karịa,POSITIVE
obi ụfụ,NEGATIVE
dị gị mma,POSITIVE
erigbu,NEGATIVE
onye ohi,NEGATIVE
ekenebe,POSITIVE
ayi ala,NEGATIVE
ajo ihe,NEGATIVE
nwenne,POSITIVE
onyenwe m,POSITIVE
yesa gi ara,NEGATIVE
onu ọjọọ,NEGATIVE
owuite,NEGATIVE
ala na apu,NEGATIVE
agbụ e,NEGATIVE
tagburu,NEGATIVE
chineke,POSITIVE
nke oma,POSITIVE
onye nzoputa,POSITIVE
nsopuru,POSITIVE
nnọọ️,POSITIVE
obi uto,POSITIVE
okaka,POSITIVE
takpuchie,NEGATIVE
ojo lu,NEGATIVE
utó,POSITIVE
obianuju,POSITIVE
mmeme,NEGATIVE
ahụike,POSITIVE
oyim,POSITIVE
cho okwu,NEGATIVE
nghọta,POSITIVE
gozikwuo,POSITIVE
agwụ go,NEGATIVE
nnwanem,POSITIVE
nsogbu,NEGATIVE
lasia gi anya,NEGATIVE
enwegi,NEGATIVE
kele,POSITIVE
nnukwu mkpa,POSITIVE
tufia,NEGATIVE
anuofia ‍️‍️,NEGATIVE
onye ara ️,NEGATIVE
enwu oku,NEGATIVE
obi ufu,NEGATIVE
amarozim,NEGATIVE
duwagi,NEGATIVE
okala mmuo,NEGATIVE
na esekwa okwu,NEGATIVE
gị bụ nsi,NEGATIVE
ezekwueche,POSITIVE
kara aka,POSITIVE
kwụdosieike,POSITIVE
omakazi,POSITIVE
ji isi kote,POSITIVE
ufû obi,NEGATIVE
tisago,NEGATIVE
kpachara anyi,NEGATIVE
biri kwe,POSITIVE
ndo nne,POSITIVE
onye ojo,NEGATIVE
iburo kwa,NEGATIVE
ogbanje,NEGATIVE
uwa mmebi,NEGATIVE
ugo,POSITIVE
ekwu eme,POSITIVE
ezendigbo,POSITIVE
ga araputa,NEGATIVE
onyeara,NEGATIVE
emegbu,NEGATIVE
ya gazikwara,POSITIVE
mebiri,NEGATIVE
anuofia,NEGATIVE
ike gwu‍️,NEGATIVE
osebuluwa,POSITIVE
nmeri,NEGATIVE
onye eze,POSITIVE
ezinwanne,POSITIVE
egbe eli igwe,NEGATIVE
ịchọ okwu,NEGATIVE
amaro,NEGATIVE
ogologo ndu,POSITIVE
ndị ala,NEGATIVE
agwula,NEGATIVE
aruruala,NEGATIVE
kene,POSITIVE
sagbukwa gi,NEGATIVE
mechie gi onu,NEGATIVE
anwuo m,NEGATIVE
tolu ato,POSITIVE
ume ngwu,NEGATIVE
igwe ndi igwe,POSITIVE
iwegi,NEGATIVE
‍‍ nsogbu,NEGATIVE
anuri,POSITIVE
mba oooo,NEGATIVE
rijuo nsi onu,POSITIVE
ajo ihe ‍️,NEGATIVE
isi nakukazi,NEGATIVE
agọzigo,POSITIVE
mgbali,POSITIVE
ike agwuro,NEGATIVE
tufuo,NEGATIVE
ara na gba gi,NEGATIVE
ike a gwugom,NEGATIVE
ọjị ọnụ,NEGATIVE
ahụ sịrị ike,NEGATIVE
doziwa,POSITIVE
zigbote,POSITIVE
onyinye,POSITIVE
ajo mmadu,POSITIVE
piakwa gi onu,NEGATIVE
siri ike,POSITIVE
kwenu,POSITIVE
egbuo gi,NEGATIVE
agbusi,NEGATIVE
wannem,POSITIVE
isi a gbarigo,NEGATIVE
aru e si ike,NEGATIVE
ike agwugom,NEGATIVE
gaagozi gi,POSITIVE
adigo,POSITIVE
fu uzo,NEGATIVE
eziokwum,POSITIVE
deje,POSITIVE
njakiri,NEGATIVE
gaegbu mmadu,NEGATIVE
òmá,POSITIVE
ogaghi,NEGATIVE
ego adirozi,NEGATIVE
onye ojoo ‍️,NEGATIVE
anya mmiri,NEGATIVE
dikwa ike,POSITIVE
naatọ ụtọ,POSITIVE
egbugo,NEGATIVE
abawago,NEGATIVE
ọjọọ,NEGATIVE
imewa gom,NEGATIVE
onye ojor,NEGATIVE
nwokem,POSITIVE
ike adịro,NEGATIVE
ajoka,NEGATIVE
oti mkpu,NEGATIVE
gbakwa okwu,NEGATIVE
egwu oma,POSITIVE
ndewonu,POSITIVE
nnem ️️,POSITIVE
otele okuko,NEGATIVE
kpọ kwa gị ọkụ,NEGATIVE
oku,NEGATIVE
gba chi e gị ntị,NEGATIVE
afufu,NEGATIVE
asa,POSITIVE
ahu isike,POSITIVE
ndị uchu,NEGATIVE
óbị,POSITIVE
ntọ ntọ,POSITIVE
nkita,NEGATIVE
ka ana aria,NEGATIVE
tagbuo,NEGATIVE
udo,POSITIVE
gbafuru m,NEGATIVE
adirọ gị,NEGATIVE
ejikem,POSITIVE
nkanka,POSITIVE
rachaa gi anya,NEGATIVE
odinma,POSITIVE
zoba kwa,POSITIVE
nze,POSITIVE
laputakwa,NEGATIVE
nzuzu,NEGATIVE
emechisi mmadu nti,NEGATIVE
akwado,POSITIVE
ihe isi ike,NEGATIVE
ndi ori,NEGATIVE
tufuo gi,NEGATIVE
