word,label
olosha,NEGATIVE
làálàá,NEGATIVE
gbẹ́nu sọ́hùn,NEGATIVE
doyan,NEGATIVE
adé ẹ̀gún,NEGATIVE
agbelebu,NEGATIVE
aditi,NEGATIVE
fọwọ́ òsì,NEGATIVE
lọ́láa wáhídù,POSITIVE
oríyọmí,POSITIVE
anfaani,POSITIVE
àṣeyẹ,POSITIVE
algbako,NEGATIVE
sanwa,POSITIVE
oun ini,POSITIVE
abanije,NEGATIVE
laibikitaopo,NEGATIVE
ara le koko,POSITIVE
lemo,NEGATIVE
luwon bi aso ofi,NEGATIVE
ladùn,POSITIVE
orókè,POSITIVE
gbébọn,NEGATIVE
ọgbọ́n,POSITIVE
láǹfààní,POSITIVE
yùngbàyùngbà,POSITIVE
lọ́ba,POSITIVE
ogbólògbó,NEGATIVE
yẹ́ àga,NEGATIVE
pataki pataki,POSITIVE
arifin,NEGATIVE
bojumu,POSITIVE
gbẹ,NEGATIVE
midun,POSITIVE
ìwàkuwà,NEGATIVE
olódùmarè,POSITIVE
aláṣìkọ,NEGATIVE
aiku baale oro,POSITIVE
ẹ dákun,POSITIVE
lẹ́mọ,NEGATIVE
ẹsẹ́,POSITIVE
ṣẹ́kù,POSITIVE
pa je,NEGATIVE
ìfọ̀kànbalẹ̀,POSITIVE
ajiki,POSITIVE
gbè,POSITIVE
àṣàìgbafẹ́,POSITIVE
pàbo lọ̀rọ̀ wọn jásí,NEGATIVE
ara a tu yin,POSITIVE
arun ebola,NEGATIVE
àníkún,POSITIVE
sanra,POSITIVE
ìbùkún,POSITIVE
arìnnà kore,POSITIVE
nparo,NEGATIVE
modúpẹ́,POSITIVE
èdàmàrè,POSITIVE
korò,NEGATIVE
ibodi,NEGATIVE
ọ̀gbun,NEGATIVE
légbodò,NEGATIVE
ifá,POSITIVE
mura,POSITIVE
ojoola,POSITIVE
sunje,NEGATIVE
ìgbáṣàlárugẹ,POSITIVE
oro isiti,POSITIVE
jandukun,NEGATIVE
èébú,NEGATIVE
penia,NEGATIVE
sunkere fakere,NEGATIVE
baálẹ̀ ọ̀rọ̀,POSITIVE
gbérù dórí,POSITIVE
gbomi loju,NEGATIVE
ìwà aburú,NEGATIVE
sanle,NEGATIVE
inu midun,POSITIVE
alayelua,POSITIVE
gbe ife,POSITIVE
òrìṣà,POSITIVE
ore,POSITIVE
amúnibúni,NEGATIVE
ngbadun,POSITIVE
elédùà,POSITIVE
tan ni,NEGATIVE
ṣá bálábálá,NEGATIVE
òfófó,NEGATIVE
alààyè,POSITIVE
iree,POSITIVE
là,POSITIVE
ọ̀nà á là,POSITIVE
gbeyin leke,POSITIVE
àìjẹun kánú,NEGATIVE
ominú kan,NEGATIVE
jẹun èpè sanra,NEGATIVE
kunju osunwon,POSITIVE
ifokanbale,POSITIVE
ewa,POSITIVE
régé,POSITIVE
ire ràbàtà,POSITIVE
ọ̀laọlọ́la,POSITIVE
kuna,NEGATIVE
òwón,NEGATIVE
àkàrá bá tú sépo,NEGATIVE
je mula,POSITIVE
ìṣòro,NEGATIVE
jàńjàń,NEGATIVE
logo,POSITIVE
mesi,NEGATIVE
ọtí,POSITIVE
ìtùbà,POSITIVE
ibojioran,NEGATIVE
ko bikita,NEGATIVE
omo garaji,NEGATIVE
lẹ́fọ̀ọ̀rí,NEGATIVE
kábíyèsí,POSITIVE
sọ̀bọ̀dìyẹsà,NEGATIVE
da omi síwájú,POSITIVE
tokantokan,POSITIVE
ale,NEGATIVE
anuibukun,POSITIVE
òtítọ́,POSITIVE
kóbá,NEGATIVE
jẹ́ra wọn,NEGATIVE
ṣe pẹ̀lẹ́,POSITIVE
ádé,POSITIVE
agbo ato,POSITIVE
