word,machine_translation,human_translation,machine_translation_updated
tout,nnukwu,onye ohi,onye ohi
grandchildren,á»¥má»¥ á»¥má»¥,ụmụ ụmụ,ụmụ ụmụ
bog,ibe,,ibe
alarming,na -emenye á»¥já»,na -emenye njọ,na -emenye njọ
conflicting,na -emegiderá»‹ta,na -emegide,na -emegide
specter,onye nlele,,onye nlele
demonstrable,ngosi,,ngosi
lonesome,owu na -ama,,owu na -ama
rejoicingly,na -aicá»¥rá»‹ á» .á»¥,na-aṅụrị ọṅụ,na-aṅụrị ọṅụ
combust,combust,ire ọkụ,ire ọkụ
madly,ara,,ara
actionable,actionable,nwere ike ime,nwere ike ime
discussion,mkpará»‹ta á»¥ka,mkparịtaụka,mkparịtaụka
nun,ná»n,nọn,nọn
forward,gaa n'ihu,,gaa n'ihu
frenetically,ugboro ugboro,,ugboro ugboro
flicering,na -amaja,,na -amaja
sensationally,mmetá»¥ta uche,n'ụzọ mmetụta uche,n'ụzọ mmetụta uche
rightness,izi ezi,,izi ezi
athlete,onye na -eme egwuregwu,,onye na -eme egwuregwu
boosts,na -akwalite,,na -akwalite
prays,na -ekpe ekpere,,na -ekpe ekpere
outsmart,mara ihe,,mara ihe
nice,á» dá»‹ mma,ị dị mma,ị dị mma
appreciate,nwee ekele,,nwee ekele
caustic,caustic,ilu,ilu
levity,levity,leeviti,leeviti
disillusioned,ndakpá» olileanya,ndakpo olileanya,ndakpo olileanya
cracking,cracking,mgbawa,mgbawa
hard-line,akara ike,enweghị chiọma,enweghị chiọma
discrepant,onye na -akpachapá»¥ anya,kedi iche,kedi iche
abnormal,ihe na -adá»‹ghá»‹ mma,ihe na -adịghị mma,ihe na -adịghị mma
upgraded,kwalite,kwalitere,kwalitere
library,á»baakwá»¥kwá»,ọba akwụkwọ,ọba akwụkwọ
disconsolation,nkwá»¥sá»‹tá»¥,enweghị anwụrị,enweghị anwụrị
jaundice,jaundice,jọndis,jọndis
possess,nwere,nnweta,nnweta
slaughtering,ogbugbu,,ogbugbu
proverbial,ilu,,ilu
merriness,obi á»¥tá»,obi aṅụri,obi aṅụri
beating,na -eti,,na -eti
enemy,onye iro,onye iro,onye iro
confiscation,njichi,njikọ,njikọ
providing,inye,,inye
primacy,mmalite,,mmalite
optimism,nchekwube,,nchekwube
freshest,freshest,kacha ọhụrụ,kacha ọhụrụ
delightfully,dá»‹ á»¥tá»,dị ụtọ,dị ụtọ
detachable,kemwepu,ikewepụ,ikewepụ
well-known,maara nke á»ma,amaara nke ọma,amaara nke ọma
gawk,gawk,akpụ,akpụ
calumniate,calumniate,ịkwụtọ,ịkwụtọ
thanks,daalá»¥,daalụ,daalụ
dick,dick,ịnwe mmekọrịta,ịnwe mmekọrịta
jubilate,obi á»¥tá»,obi aṅụri,obi aṅụri
delicious,á»¥tá»,tọrọ ụtọ,tọrọ ụtọ
immobilized,agaghi agaghari,,agaghi agaghari
fearful,egwu,,egwu
gullibility,ikwere ihe,,ikwere ihe
beneficent,onye ebere,,onye ebere
undermines,na -emebi,,na -emebi
demoralized,nká»¥da mmá»¥á»,nkụda mmụọ,nkụda mmụọ
specie,iche,,iche
doom,mbibi,,mbibi
infuriated,were iwe,,were iwe
poise,dá»‹ já»¥á»¥,njikwata,njikwata
awkwardness,ihere,,ihere
zealots,ndá»‹ na -aná»¥ á»ká»¥ n'obi,ndị ihe na- anụ ọkụ n'obi,ndị ihe na- anụ ọkụ n'obi
conciliates,na -ekwubi okwu,,na -ekwubi okwu
unpublished,ebiputaghi,,ebiputaghi
insanity,ara,,ara
pensive,pensive,pensivu,pensivu
phonetic,uda olu,odịdịụda,odịdịụda
glaringly,na -amaká»¥,anya iwe,anya iwe
patch,kwachie,,kwachie
tariff,tarifu,,tarifu
perfected,zuo oke,,zuo oke
rat,oke,,oke
chafe,chafe,inye nsogbu,inye nsogbu
detachment,mwepu,,mwepu
falsified,ghaara ugha,ghaara ụgha,ghaara ụgha
rejects,já»¥rá»¥,na -ajụ,na -ajụ
giddy,gbamgbam,,gbamgbam
solving,idozi,,idozi
despondence,obi nkoropá»¥,nkụda mmụọ,nkụda mmụọ
unconscious,amaghá»‹ ihe á» bá»¥la,amaghị ihe ọ bụla,amaghị ihe ọ bụla
weeping,na -akwa akwa,,na -akwa akwa
armaments,ngwa agha,,ngwa agha
loose,rá»¥rá»¥ ará»¥,itufu ihe,itufu ihe
interruption,nkwá»¥sá»‹,nkwụsitụ,nkwụsitụ
insignificant,ihe efu,,ihe efu
reclamation,mgbake,,mgbake
hostage,njigide,,njigide
accomplished,mezuru,,mezuru
momentous,dá»‹ mkpa,dị mkpa,dị mkpa
capsize,ikpuo,,ikpuo
committal,nkwa,,nkwa
easement,iru ala,mfe,mfe
fuckers,ndá»‹ isi,,ndá»‹ isi
bored,ike gwá»¥rá»¥,ike gwụrụ,ike gwụrụ
floored,furu efu,ala,ala
grisly,dá»‹ egwu,ihe ọjọọ,ihe ọjọọ
blossom,otuto,,otuto
mismanagement,ejighi oru,,ejighi oru
lawfully,n'á»¥zá» iwu kwadoro,ịdị n'iwu,ịdị n'iwu
totalitarianism,á»chá»‹chá»‹ aka ike,ọchịchị aka ike,ọchịchị aka ike
dismay,obi nkoropá»¥,obi mwute,obi mwute
exclusive,naná»‹,naanị,naanị
dearly,ezigbo,,ezigbo
hearse,na -ege nti,,na -ege nti
reverently,nsá»pá»¥rá»¥,nkwanye ugwu,nkwanye ugwu
visitor,onye obia,,onye obia
antagonistic,na -emegide,,na -emegide
contamination,mmeru,mmerụ,mmerụ
disrespected,enweghá»‹ nkwanye Ã¹gwÃ¹,enweghị nkwanye ugwu,enweghị nkwanye ugwu
stainless,igwe anaghá»‹ agba nchara,agba nchara,agba nchara
torn,adá»wa,adọwa,adọwa
disingenuously,n'echeghá»‹ eche,ekweghị ekwe,ekweghị ekwe
parley,parley,nzukọ,nzukọ
cranky,cranky,inye nsogbu,inye nsogbu
respecting,na -akwanyere ugwu,,na -akwanyere ugwu
standout,kwá»¥pá»¥ta,kwụpụta iche,kwụpụta iche
soulmate,mkpá»¥rá»¥ obi,onye ndu,onye ndu
bombardment,ogbunigwe,,ogbunigwe
interrupting,nkwá»¥sá»‹tá»¥,nkwụsịtụ,nkwụsịtụ
straight,Kwá»¥ á»tá»,kwụ ọtọ,kwụ ọtọ
drawbacks,ndá»ghachi azá»¥,ndaghachi azụ,ndaghachi azụ
stressors,ndá»‹ nrá»¥gide,ndị nrụgide,ndị nrụgide
obliteration,mkpochapu,,mkpochapu
avid,uchu,,uchu
discounted,mbelata,,mbelata
distrusting,enweghá»‹ ntá»¥kwasá»‹ obi,enweghị ntụkwasị obi,enweghị ntụkwasị obi
criticize,nkatá»,inyocha,inyocha
reliably,ntá»¥kwasá»‹ obi,kwesịrị nkụkasị obi,kwesịrị nkụkasị obi
exagerates,na -apá»¥ n'anya,,na -apá»¥ n'anya
gainsay,nkwughachi,ekweghị,ekweghị
alienated,nkewapá»¥rá»¥,nkewapụrụ,nkewapụrụ
dedicated,raara nye,nhunyere,nhunyere
horrified,egwu,,egwu
laughed,chá»‹rá»‹ á»chá»‹,chịrị ọchị,chịrị ọchị
vote,votu,,votu
trembling,na -ama jijiji,,na -ama jijiji
restrain,gbochie,,gbochie
irony,asiri,eche ekwu ọzọ,eche ekwu ọzọ
frets,ntá»¥pá»,ntapụ,ntapụ
ho-hum,hu-hum,,hu-hum
falsify,ghagha á»¥gha,okwu ụgha,okwu ụgha
deceive,nduhie,,nduhie
intimidate,menyeujo,menye ụjọ,menye ụjọ
relegation,mwepu,mgbada,mgbada
guardianship,onye nleká»ta,nlekọta,nlekọta
chilling,na -atá»¥ á»¥já»,na -atụ oyi,na -atụ oyi
elusive,na -esighi ike,,na -esighi ike
grumpish,mkpasu iwe,,mkpasu iwe
exemplar,onye nlele,,onye nlele
credence,nkwenye,,nkwenye
chronic,na -adá»‹ghá»‹ ala ala,na -adịghị ala ala,na -adịghị ala ala
apologising,na -ará»‹á» mgbaghara,arịọ mgbaghara,arịọ mgbaghara
terrorizes,egwu,,egwu
antagonize,imegide,,imegide
detraction,mmá»¥ba,idọrọ,idọrọ
whooa,onyee,,onyee
denounce,á»‹katá»,akatọ,akatọ
drowns,mmiri rie,,mmiri rie
prosecution,ikpe,,ikpe
first-in-class,klaasá»‹ mbá»¥,nke mbụ na klaasị,nke mbụ na klaasị
abject,mkpará»‹,ajọ,ajọ
scrutinize,nyochaa,,nyochaa
survival,lanará»‹,ịgbanahị,ịgbanahị
compact,ká»mpat,kọmpat,kọmpat
coldly,oyi,,oyi
magnificence,á»‹dá»‹ ebube,ịdị ebube,ịdị ebube
amen,amen,isee,isee
husbandry,ugbo,,ugbo
reaching,na -eru,,na -eru
assurance,mmesi obi ike,,mmesi obi ike
incisive,na -enweghá»‹ mgbagha,na-akpalị akpalị,na-akpalị akpalị
whip,á»¥tará»‹,ụtarị,ụtarị
can't stand,enweghá»‹ m ike iguzo,enweghị m ike iguzo,enweghị m ike iguzo
worthiness,kwesiri,,kwesiri
pity,á»má»‹iko,ọmịiko,ọmịiko
tribulation,mkpagbu,,mkpagbu
usurped,weghaara,,weghaara
soothingly,dá»‹ já»¥á»¥,na-atọ ụtọ,na-atọ ụtọ
repay,kwá»¥ghachi,kwụghachi,kwụghachi
jealous,ekworo,,ekworo
godless,onye na -adá»‹ghá»‹ asá»pá»¥rá»¥ Chineke,onye na-adịghị asọpụrụ Chukwu,onye na-adịghị asọpụrụ Chukwu
approving,na -akwado,,na -akwado
abandonment,nhapá»¥,nhapụ,nhapụ
caretaker,onye nleká»ta,onye nlekọta,onye nlekọta
embargo,mgbochi,,mgbochi
erratic,na -adá»‹ghá»‹ ike,na -adịghị ike,na -adịghị ike
renewal,mmeghari ohuru,,mmeghari ohuru
terrorize,egwu,,egwu
penalty,ntaramahá»¥há»¥,ntaramahụhụ,ntaramahụhụ
censor,censor,sensọ,sensọ
agrees,kwetara,,kwetara
betterment,mmelite,ka mma,ka mma
bane,nsogbu,,nsogbu
bankruptcy,odida,,odida
plusses,pluss,gbakwunyere,gbakwunyere
best-selling,kacha ere,,kacha ere
firing,na -agbapá»¥,na -agbapụ,na -agbapụ
scapegoats,ndá»‹ uwe ojii,kentaramahụhụ,kentaramahụhụ
rapist,ndina n'ike,,ndina n'ike
boredom,ike á»gwá»¥gwá»¥,ike ọgwụgwụ,ike ọgwụgwụ
council,kansul,,kansul
embarrass,ihere,,ihere
bonds,agbá»¥,njikọrụ,njikọrụ
fancier,onye ofufe,,onye ofufe
bomb,bombu,bọmbụ,bọmbụ
disastrous,á»dachi,ọdachi,ọdachi
loves,há»¥rá»¥ n'anya,hụrụ n'anya,hụrụ n'anya
distresses,nsogbu,,nsogbu
biting,na -atamu ntamu,na -atarụ,na -atarụ
intuition,nsinammuo,,nsinammuo
contemptible,eleda anya,,eleda anya
manifested,egosipá»¥ta,gosipụtara,gosipụtara
gush,gush,gbuo,gbuo
keenly,kpomkwem,,kpomkwem
exellent,mara mma,,mara mma
publicist,onye mgbasa ozi,,onye mgbasa ozi
calmness,á»‹dá»‹ já»¥á»¥,ịdị jụụ,ịdị jụụ
baboon,adaka,,adaka
screwed,kposara,,kposara
piteous,dá»‹ egwu,obi ebere,obi ebere
embrace,maká»¥á»,makụọ,makụọ
humor,á»chá»‹,mkpa ọchị,mkpa ọchị
myopia,myopia,nsogbu anya,nsogbu anya
busts,busts,nkụwa,nkụwa
bitingly,na -atá»¥ egwu,kentamu,kentamu
dispersion,mgbasa,,mgbasa
hawkish,egbe,,egbe
interlocutory,mmeká»rá»‹ta,mmekọrịta,mmekọrịta
loaf,ogbe achá»‹cha,ogbe achịcha,ogbe achịcha
busybody,onye na -eme ihe,,onye na -eme ihe
badly,merá»¥sá»‹rá»‹,merụsịrị,merụsịrị
surviving,na -adá»‹ ndá»¥,na-adị ndụ,na-adị ndụ
fulfill,mezuo,,mezuo
harms,emerá»¥,emerụ ahụ,emerụ ahụ
contort,nkweká»rá»‹ta,ịgwagbu,ịgwagbu
concession,nzere,,nzere
disillusioned,ndakpá» olileanya,ndakpo olileanya,ndakpo olileanya
untie,tá»pá»¥,tọpụ,tọpụ
examination,nyocha,,nyocha
murders,ogbugbu,,ogbugbu
unfairness,mmegbu,,mmegbu
imitation,nitationomi,nṅomi,nṅomi
considerable,kennukwu,,kennukwu
citizen,nwa amaala,,nwa amaala
integrated,ike há»á»rá»,jikọta,jikọta
active,na -ará»¥si á»rá»¥ ike,uchu ọrụ,uchu ọrụ
rescue,nnapá»¥ta,nnapụta,nnapụta
disagreeably,ekweká»ghá»‹ ekweká»,ekweghị ekwe,ekweghị ekwe
failed,okpu,,okpu
watery,mmiri mmiri,,mmiri mmiri
contemptuous,nlelá»‹,nleda,nleda
acrimonious,dá»‹ egwu,dị egwu,dị egwu
gruesomely,dá»‹ njá»,dị njọ,dị njọ
collectively,mkpoká»ta,mkpokọta,mkpokọta
audacity,nkwuwa okwu,,nkwuwa okwu
emir,eze,,eze
stunning,pá»¥tara,ịtụnanya,ịtụnanya
lags,lags,na-egbu oge,na-egbu oge
foreclose,kpochapu,,kpochapu
contrary,Kama nke ahá»¥,megide,megide
weep,bee akwa,bee ´akwa´,bee ´akwa´
rebellion,nnupu isi,,nnupu isi
scandals,asá»‹rá»‹,`asị`rị`,`asị`rị`
unprofessional,enweghá»‹ aka á»rá»¥,enweghị aka ọrụ,enweghị aka ọrụ
occupant,onye bi,,onye bi
mainstay,onye isi,,onye isi
succes,ihe á»‹ga nke á»ma,ihe na-aga nke oma,ihe na-aga nke oma
bedlam,ala ala,nsogbu,nsogbu
justification,ezi omume,,ezi omume
apathy,enweghá»‹ mmasá»‹,enweghị mmasị,enweghị mmasị
gruff,gbuo,,gbuo
confiscate,na -ejichi ihe,weghara,weghara
dissemble,ikposa,,ikposa
adulterate,á»‹kwa iko,akwa iko,akwa iko
distracting,na -adá»pá»¥ uche,na -adọpụ  uche,na -adọpụ  uche
gash,gbuo,,gbuo
mumpish,mumpish,mọpishi,mọpishi
tortious,na -ata ahá»¥há»¥,na-ata ahụhụ,na-ata ahụhụ
