word,machine,human,label
honorable,mai daraja,mai daraja,POSITIVE
completing,kammalawa,kammalawa,POSITIVE
kite,irin,jirgin leda,NEGATIVE
upgraded,an inganta,ingantacce,POSITIVE
undue,mara nauyi,mara nauyi,NEGATIVE
unequivocally,ba shakka,ba shakka,POSITIVE
rescues,ceto,yana ceto,POSITIVE
revolver,revolver,bindiga mai juyawa,NEGATIVE
enrages,fusata,yana/tana fusata,NEGATIVE
clouded,hadari,hadari,NEGATIVE
reasonably,mai ma'ana,mai ma'ana,POSITIVE
heros,heros,ya na jarumta,POSITIVE
applause,tafi,tafawa,POSITIVE
eagerness,himma,himma,POSITIVE
blur,blur,dusu-dusu,NEGATIVE
whirlwind,guguwa,guguwa,NEGATIVE
sleazy,m,rashin tarbiyya da da'a,NEGATIVE
vacation,hutu,hutu,POSITIVE
swearing,rantsuwa,rantsuwa,NEGATIVE
uplifting,daukakawa,daukakawa,POSITIVE
polarisation,rarrabuwar kai,rarrabuwar kai,NEGATIVE
inmate,fursuna,fursuna,NEGATIVE
excitedly,cikin farin ciki,cikin farin ciki,POSITIVE
appropriation,kasafi,tsarawa,NEGATIVE
harsh,mai tsanani,mai tsanani,NEGATIVE
flop,flop,kasashshe,NEGATIVE
late,marigayi,marigayi,NEGATIVE
supurb,kari,mai girma,POSITIVE
instruct,koyar,koyar,POSITIVE
weakness,rauni,rauni,NEGATIVE
statuesque,mutum-mutumi,mutum-mutumi,POSITIVE
inaptitude,rashin fahimta,rashin fahimta,NEGATIVE
knell,durƙusa,durƙusa,NEGATIVE
terminal,m,na karshe,NEGATIVE
choral,mawaƙa,mawaƙa,POSITIVE
twitch,karkata,karkata,NEGATIVE
pleas,roko,roko,NEGATIVE
agonies,tashin hankali,tashin hankali,NEGATIVE
defect,aibi,aibi,NEGATIVE
parade,fareti,fareti,POSITIVE
postpone,jinkirta,jinkirta,NEGATIVE
accomplishments,nasarorin,nasarorin,POSITIVE
planning,shiryawa,shiryawa,POSITIVE
serpent,maciji,maciji,NEGATIVE
despairing,yanke ƙauna,yanke ƙauna,NEGATIVE
devilment,shaidan,shaidan,NEGATIVE
cooperation,hadin kai,hadin kai,POSITIVE
unskilled,maras iyawa,maras iyawa,NEGATIVE
efficacious,mai amfani,mai amfani,POSITIVE
agreed,yarda,yarda,POSITIVE
cosy,jin dadi,jin dadi,POSITIVE
horribly,abin tsoro,abin tsoro,NEGATIVE
oversimplified,karin haske,karin haske,NEGATIVE
subsist,ci gaba,ci gaba,NEGATIVE
counter-attacks,kai hare-hare,kai hare-hare,POSITIVE
